criticalLevel,workType,responseTime,processingDuration,resolutionDuration,done,replanned,occupant_absent,temporary_repair,canceled,class
five,corrective,]1-2],]0-1],]1-2],False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]48-72],]1-2],]48-72],False,False,False,True,False,Panne Robinetterie
one,corrective,]48-72],]0-1],]48-72],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,Panne chauff ind
five,corrective,]72--[,]0-1],]72--[,True,True,False,True,False,Panne Robinetterie
minus-one,corrective,]72--[,]2-4],]72--[,False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]48-72],]0-1],]48-72],False,False,True,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]4-16],]72--[,True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,Panne VMC sanitaire
minus-one,corrective,]2-4],]0-1],]4-16],False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]24-48],]0-1],]24-48],True,False,False,True,False,Panne Robinetterie
minus-one,corrective,]72--[,]0-1],]72--[,True,False,False,True,False,Panne chauff ind
five,corrective,]72--[,]0-1],]72--[,True,False,False,True,False,Panne Robinetterie
minus-one,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,Panne Production ECS
minus-one,corrective,]4-16],]0-1],]4-16],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]1-2],]1-2],]2-4],True,False,False,False,False,Panne Robinetterie
one,corrective,]48-72],]0-1],]48-72],True,False,False,True,False,Panne VMC sanitaire
minus-one,corrective,]24-48],]0-1],]48-72],True,False,False,False,False,Panne Robinetterie
one,corrective,]72--[,]4-16],]72--[,False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]24-48],]1-2],]24-48],True,False,False,False,False,Panne chauff ind
minus-one,corrective,]24-48],]1-2],]24-48],False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]48-72],]0-1],]48-72],False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]0-1],]4-16],]4-16],False,False,False,True,False,Panne Robinetterie
one,corrective,]2-4],]0-1],]2-4],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]4-16],]72--[,False,False,True,False,False,Panne Robinetterie
one,corrective,]48-72],]1-2],]72--[,True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,Panne Robinetterie
one,corrective,]72--[,]2-4],]72--[,True,False,False,False,False,Panne Robinetterie
one,corrective,]24-48],]0-1],]24-48],True,False,False,True,False,Panne Robinetterie
minus-one,corrective,]4-16],]1-2],]4-16],True,False,False,False,False,Panne chauff ind
one,corrective,]72--[,]16-24],]72--[,True,False,False,False,False,Panne Robinetterie
one,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]1-2],]72--[,True,False,False,True,False,Panne chauff ind
minus-one,corrective,]48-72],]0-1],]48-72],True,False,False,False,False,Panne Production ECS
five,corrective,]2-4],]0-1],]2-4],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]1-2],]72--[,True,False,False,True,False,Panne Robinetterie
minus-one,corrective,]72--[,]2-4],]72--[,False,False,False,True,False,Panne Production ECS
minus-one,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,Panne Robinetterie
one,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]1-2],]72--[,False,False,False,True,False,Panne Robinetterie
minus-one,corrective,]1-2],]1-2],]2-4],False,False,False,True,False,Panne chauff ind
one,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]2-4],]2-4],]4-16],True,False,False,False,False,Panne Robinetterie
five,corrective,]48-72],]0-1],]48-72],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]1-2],]72--[,False,False,False,True,False,Panne chauff ind
minus-one,corrective,0,]1-2],]1-2],True,False,False,False,False,Panne chauff ind
minus-one,corrective,]24-48],]0-1],]24-48],True,False,False,True,False,Panne chauff ind
five,corrective,0,]16-24],]16-24],True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,Panne Robinetterie
minus-one,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,Panne chauff ind
